"Club";"Barra";"Titulo";"Letra"
"racing club";"la guardia imperial";"a racing lo hace grande su gente";"aun que sean los campeones el rojo ya lo demonstró el sentimiento no cambia vos sos amargo y cagón siempre estuvimos en las malas las buenas ya van a venir a racing lo hace grande su gente y vos no existis  ooh oh!"
"racing club";"la guardia imperial";"aca esta la gloriosa banda de la academia";"aca esta la gloriosa banda de la academia la que va a todas partes la que siempre te alienta a pesar de los años los momentos vividos siempre estare a tu lado racing racing querido racing racing querido."
"racing club";"la guardia imperial";"academia te llevo en el corazon";"academia te llevo en el corazon en cualquier cancha que juegues voy con vos no me importa si perdes o si ganas academia cada ves te quiero mas vamo' acade vamo' a ganar avellaneda es carnaval donde jugues yo voy a estar esta es la guardia imperial"
"racing club";"la guardia imperial";"brillara blanca y celeste";"esta es la numero uno que te sigue a todas partes siempre con sus estandartes y un grito de corazón racing campeón racing campeón desde el este y el oeste en el norte y en el sur brillara blanca y celeste la academia racing club y la acade y la acade"
"racing club";"la guardia imperial";"cada dia que pasa mi amor por vos es mas grande";"nadie comprende que yo venga a alentarte cada día que pasa mi amor por vos es mas grande racing se lleva en el alma no puede dejarse y me voy a quedar en la cancha solo pa' alentarte"
"racing club";"la guardia imperial";"como esta hinchada loca seguro que no hay";"que alegria que alegria ole ole ola vamos racing todavia que estas para ganar como esta hinchada loca seguro que no hay te sigue a todas partes te alienta hasta el final porque tenemo aguante aguante de verdad es la numero uno es la guardia imperial"
"racing club";"la guardia imperial";"de pendejo te sigo";"de pendejo te sigo junto a racing siempre a todos lados nos bancamos una quiebra el descenso y fuimos alquilados no me olvido ese día que una vieja chiflada decía que racing no existía que tenía que ser liquidado si llenamos nuestra cancha y no jugamos ohoo ohoo defendimos del remate nuestra sede ohoo ohoo si la nuestra es una hinchada diferente no es amarga como la de independiente ohoo ohoo los bosteros san lorenzo y las gallinas ohoo ohoo nunca llenaron dos canchas el mismo día ohoo ohoo y a vos independiente yo te digo vos sos amargo y pecho frío vos sos amargo y tiratiros"
"racing club";"la guardia imperial";"esta es la guardia imperial";"academia te llevo en el corazon en cualquier cancha que juegues voy con vos no me importa si perdes o si ganas la academia cada vez te quiero mas vamo acade vamo a ganar avellaneda es carnaval donde jugues yo voy a estar esta es la guardia imperial"
"racing club";"la guardia imperial";"hay que gritar senor hay que gritar";"hay que gritar señor hay que gritar! hay que gritar señor hay que gritar! hay que gritar señor hay que gritar! y vamos vamos racing  que tenemos que ganar!"
"racing club";"la guardia imperial";"la cancha de cemento ya la vas a tener";"la cancha de cemento ya la vas a tener y alla en el bajo flores vas a correr tambien eso no cambia nada vas a morir cagon... lo dice la academia  que siempre te corrio... que alegria que alegria ole ole ola... vamos racing todabia qué estas para ganar "
"racing club";"la guardia imperial";"la locura de la droga y descontrol";"no me arrepiento de este amor  aunque me cueste el corazón  llevo la camiseta en la piel  yo voy a morir por la acade. cuando venga river plate  le vamos a demostrar  que racing se la aguanta de verdad  camina sin custodia policial rojo vos no tenes huevos  no te la bancas sin fierros  sos igual que san lorenzo sos cagón y aunque no demos la vuelta  racing siempre es una fiesta  la locura de la droga y descontrol"
"racing club";"la guardia imperial";"llega el domingo yo te vengo a ver";"llega el domingo yo te vengo a ver yo soy desde pendejo hincha de la acadé cada partido me vuelvo a enamorar llega el domingo todo vuelve a empezar no se por que te quiero asi racing sos mi alegría racing me hace sentir todo ese amor esa ilusion la de toda la gente que te quiere campeon"
"racing club";"la guardia imperial";"me muero de amor cuando juega racing";"me muero de amor cuando juega racing no me importa nada yo vengo por vos para esta pasión no alcanza una cancha la número 1 ya lo demostró cómo olvidar cuando te fuiste a la b cómo olvidar que al rojo yo lo velé si tu gente ya estuvo en las malas en las buenas esto no se compará vamos la acadé quiero la vuelta otra vez... y vamo acade......"
"racing club";"la guardia imperial";"mire senora ay que poronga";"mire señora ay que poronga esa es la cancha de julio grondona mire el estadio de la academia el coliseo siempre está de fiesta rojo para que queres tener estadio para mas gente si no lo vas a llenar no te olvides que sos independiente rojo entendé que la academia es capo de avellaneda no como vos rojo te vas andate a wilde y no vuelvas mas"
"racing club";"la guardia imperial";"muchachos traigan vino juega la acade";"los momentos que vivi todo lo que yo deje por seguir a la academia nadie lo puede entender yo no se como explicar que te llevo hasta en la piel sos la droga que en las venas me inyectaron al nacer"
"racing club";"la guardia imperial";"nadie comprende";"nadie comprende qe yo venga a alentarte cada dia qe pasa mi amor por vos es mas grande racing se lleva en el alma no puede dejarse y me voy a qedar en la cancha solo pa alentarte racing es una pasion inexplicable el veneno qe corre en mis venas qe llevo en la sangre la enfermedad mortal qe no qiero curarme sos la droga qe le pido a dios qe nunca me falte pongan huevo qiero un campeonato qe cieerre mi herida hay hay hay hay amor amor racing de mi vida racing te qiero ver campeon dame esa alegria"
"racing club";"la guardia imperial";"no me arrepiento de este amor";"no me arrepiento de este amor aunque me cueste el corazón llevo la camiseta en la piel yo voy a morir por la acade."
"racing club";"la guardia imperial";"para venir a racing se necesita un poco de locura";"la academia carajo la academia carajo la academia carajo la academia para venir a racing silbidos para venir a racing se necesita un poco de locura silbidos un poco de locura y otra cosita ahi arriba ahi arriba silbidos ahi arriba ahi arriba ahi arriba iré por la acade por la acade silbidos"
"racing club";"la guardia imperial";"racing se metio adentro de mi corazon";"racing se metio adentro de mi corazon y nunca va a salir te voy a seguir hasta el fin ni la muerte podra de tener toda esta pasion no se como explicar que solo vivo por vos vamos la acedemia que tenemos que ganar la banda esta de fiesta y nunca te va abandonar"
"racing club";"la guardia imperial";"se viene racing campeon";"yo soy de una banda loca muy conocida del mundo entero yo te sigo a todas partes me chupa un huevo si estoy primero este año estamo re loco vamo a copar toda la argentina con bombos con estandartes tomando vino y cocaina es tradicion de mi pueblo no ser amargo no ser boton al rojo se lo dedico no a la violencia sos un cagon se viene racing campeon racing campeon racing capeon se viene racing campeon racing campeon racing capeon se viene racing campeon racing campeon racing capeon se viene racing campeon racing campeon racing capeon"
"racing club";"la guardia imperial";"soy de racing de pendejo soy del cuadro de mi viejo";"soy de racing de pendejo soy del cuadro de mi viejo porque vos sos la alegria la pasion de cada dia no existe nada como esta hinchada la que te alienta en las buenas y en las malas"
"racing club";"la guardia imperial";"tenes que salir campeon este es el ano";"tenés que salir campeón este es el año  ustedes poniendo huevo y yo alentando hace mucho tiempo qe la vuelta yo quiero dar este año academia no me podes fallar vamoo acadeeeee vamo acadee vamoo acaadeeee vamoo acaadee"
